herb,molecule,target
Abies alba,(+)-Bornyl acetate,Solute carrier organic anion transporter family member 1B1
Abies alba,(+)-Bornyl acetate,Solute carrier organic anion transporter family member 1B3
Abrus precatorius,4-Hydroxycinnamic acid,Aldose reductase
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase I
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase II
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase III
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase IV
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase IX
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase VA
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase VB
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase VI
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase VII
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase XII
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase XIV
Abrus precatorius,4-Hydroxycinnamic acid,Estrogen receptor alpha
Abrus precatorius,4-Hydroxycinnamic acid,Raji
Abrus precatorius,4-Hydroxycinnamic acid,Solute carrier organic anion transporter family member 1B1
Abrus precatorius,4-Hydroxycinnamic acid,Solute carrier organic anion transporter family member 1B3
Abrus precatorius,4-Hydroxycinnamic acid,Tyrosinase
Abrus precatorius,4-Hydroxycinnamic acid,Xanthine dehydrogenase
