"target","n"
"ACHE",11
"Solute carrier organic anion transporter family member 1B1",8
"Solute carrier organic anion transporter family member 1B3",8
"MMP2",7
"ERAP1",6
"ODC1",6
"OPRD1",6
"ACE",5
"AKT3",5
"C3AR1",5
"CA2",5
"CA6",5
"CA7",5
"CBX7",5
"ERAP2",5
"HDAC1",5
"HDAC10",5
"HDAC11",5
"HDAC2",5
"HDAC5",5
"HDAC7",5
"HDAC8",5
"HDAC9",5
"IMPDH1",5
"IMPDH2",5
"LNPEP",5
"MME",5
"MMP1",5
"MMP9",5
"OPRM1",5
"PSMB9",5
"TMPRSS6",5
"TRPM2",5
"TYR",5
"ADAM12",4
"ADCY5",4
"AHR",4
"AKT1",4
"BCHE",4
"BMP1",4
"BRD4",4
"BRD9",4
"BRS3",4
"CA12",4
"CCKAR",4
"CCKBR",4
"CDC42BPA",4
"CFTR",4
"CPB2",4
"CTBP2",4
"CTSB",4
"CTSL",4
"DRD2",4
"DRD3",4
"DRD4",4
"DYRK3",4
"ECE1",4
"EDNRA",4
"EDNRB",4
"EPHA1",4
"EPHA3",4
"EPHA4",4
"EPHA5",4
"EPHA6",4
"EPHA7",4
"EPHA8",4
"EPHB1",4
"EPHB2",4
"EPHB3",4
"EPHB6",4
"FPR1",4
"FPR2",4
"GABRB1",4
"GABRB2",4
"GHSR",4
"GPR84",4
"GRPR",4
"GSK3B",4
"HDAC3",4
"HDAC6",4
"HGFAC",4
"HPN",4
"HTR1A",4
"HTR1B",4
"HTR1D",4
"HTR1E",4
"HTR2A",4
"HTR2B",4
"HTR2C",4
"ICAM1",4
"IDE",4
"KCNA5",4
"KISS1R",4
"LRRK2",4
"MAGI3",4
"MC1R",4
"MC3R",4
"MC4R",4
"MC5R",4
"MMP11",4
"MMP14",4
"MMP15",4
"MMP17",4
"MMP25",4
"MMP26",4
"MMP3",4
"MMP7",4
"MMP8",4
"MPO",4
"MTNR1A",4
"NCOR1",4
"NCOR2",4
"NMBR",4
"NR3C1",4
"NR3C2",4
"P4HB",4
"PPIB",4
"PRKAB2",4
"PRKCG",4
"PRKD2",4
"PRKG2",4
"PSMB8",4
"RAD51",4
"RUVBL1",4
"SELE",4
"SGK2",4
"SNCA",4
"SPR",4
"SSTR1",4
"SSTR2",4
"SSTR3",4
"SSTR4",4
"SSTR5",4
"ST14",4
"ST3GAL1",4
"STK3",4
"SYK",4
"TACR1",4
"TACR2",4
"TAOK3",4
"TAS2R31",4
"ACE2",3
"AKR1B1",3
"AKR1B10",3
"ANPEP",3
"CA3",3
"CAPN1",3
"CAPN2",3
"CPA1",3
"EGFR",3
"ESR2",3
"FOLH1",3
"HLA-A",3
"JUN",3
"LAP3",3
"LTA4H",3
"MDM4",3
"NAALAD2",3
"NPEPPS",3
"PPARA",3
"PPARG",3
"SLC16A10 protein",3
"SLC7A5",3
"ABCG2",2
"ADAM17",2
"ADAM9",2
"ADAMTS4",2
"ADRA2C",2
"ADRB3",2
"AKT2",2
"ALOX15B",2
"ALOX5",2
"APP",2
"C5AR1",2
"CA13",2
"CA14",2
"CA4",2
"CA5A",2
"CA5B",2
"CA9",2
"CAMK2D",2
"CAMKK2",2
"CAPNS1",2
"CASP10",2
"CASP4",2
"CASP5",2
"CASP9",2
"CBX4",2
"CDC25B",2
"CDK2",2
"CDK4",2
"CHEK1",2
"CXCL12",2
"CYP1B1",2
"Carbonic anhydrase I",2
"Carbonic anhydrase II",2
"Carbonic anhydrase IV",2
"Carbonic anhydrase VA",2
"Carbonic anhydrase VB",2
"Carbonic anhydrase VI",2
"Carbonic anhydrase VII",2
"Carbonic anhydrase XII",2
"Carbonic anhydrase XIV",2
"ESR1",2
"GABRA1",2
"GABRG2",2
"GLO1",2
"GSK3A",2
"HCRTR2",2
"HTR4",2
"IDO1",2
"JAK3",2
"KDM5B",2
"MAOB",2
"MAPK8",2
"MAPK9",2
"MB",2
"MIF",2
"MMP13",2
"MTNR1B",2
"NFKB1",2
"NMUR1",2
"NTRK1",2
"NTSR1",2
"PAM",2
"PDE5A",2
"PDGFRB",2
"PIN1",2
"PRKAA1",2
"PRKX",2
"PSMB5",2
"PTPN1",2
"PTPN2",2
"REN",2
"RPS6KA3",2
"SLC18A2",2
"TTR",2
"VCAM1",2
"ABAT",1
"ABCB1",1
"ABCC1",1
"ADORA1",1
"ADORA2A",1
"AKR1C3",1
"AKR1C4",1
"AKT1S1",1
"ALDH5A1",1
"ALOX12",1
"ALOX15",1
"AMY1A",1
"ANTXR2",1
"AR",1
"ARG1",1
"ARG2",1
"Aldose reductase",1
"BACE1",1
"BHMT",1
"Bloom syndrome protein",1
"CA1",1
"CACNA2D1",1
"CALM1",1
"CASP1",1
"CASR",1
"CBR1",1
"CBS",1
"CELA1",1
"CHRND",1
"CISD1",1
"CPA3",1
"CPB1",1
"CREB1",1
"CSK",1
"CTRB1",1
"CTSH",1
"CXCL8",1
"CYP19A1",1
"CYP1A1",1
"CYP26B1",1
"Carbonic anhydrase III",1
"Carbonic anhydrase IX",1
"Cholesterol 24-hydroxylase",1
"DHCR7",1
"DNPEP",1
"DPP4",1
"DPP7",1
"DPP8",1
"DPP9",1
"ELAVL3",1
"ENPEP",1
"EP300",1
"ERN1",1
"ESRRB",1
"ESRRG",1
"Estrogen receptor alpha",1
"F3",1
"FAP",1
"FOS",1
"FYN",1
"G6PC",1
"GCLC",1
"GFPT1",1
"GNB1",1
"GNG2",1
"GNPAT",1
"GPR142",1
"GPR183",1
"GRIA1",1
"GRIA2",1
"GRIA3",1
"GRIA4",1
"GRIK1",1
"GRIK2",1
"GRIK3",1
"GRIK5",1
"GRK6",1
"GRM4",1
"GRM6",1
"GRM8",1
"GSTM1",1
"HCAR2",1
"HDAC4",1
"HL-60",1
"HMGCR",1
"HSPA1A",1
"HSPD1",1
"HSPE1",1
"IL1B",1
"IL2",1
"K562",1
"KCND3",1
"KDM4E",1
"KIF11",1
"KIT",1
"KLK1",1
"KMO",1
"KYNU",1
"L-type amino acid transporter 1",1
"LCK",1
"LPAR2",1
"LY96",1
"MAOA",1
"MAPT",1
"MMEL1",1
"MYOC",1
"NFE2L2",1
"NOS1",1
"NOS2",1
"NOS3",1
"NOX4",1
"NPPA",1
"NPY4R",1
"NQO1",1
"NQO2",1
"NR0B2",1
"OPRK1",1
"PARP10",1
"PCNA",1
"PGF",1
"PIM1",1
"PON1",1
"PRKCH",1
"PRKDC",1
"PSMA1",1
"PSMA2",1
"PSMA3",1
"PSMA4",1
"PSMA5",1
"PSMA6",1
"PSMA7",1
"PSMA8",1
"PSMB1",1
"PSMB10",1
"PSMB11",1
"PSMB2",1
"PSMB3",1
"PSMB4",1
"PSMB6",1
"PSMB7",1
"PTGER2",1
"PTGER3",1
"PTGER4",1
"PTPN11",1
"PTPRA",1
"PTPRS",1
"QDPR",1
"RARB",1
"RBBP9",1
"RCE1",1
"RHOA",1
"RNPEP",1
"Raji",1
"SCNN1A",1
"SIGMAR1",1
"SK-N-SH",1
"SLC15A1",1
"SLC1A1",1
"SLC1A2",1
"SLC1A3",1
"SLC22A6",1
"SLC7A11",1
"SLCO4C1",1
"ST6GAL1",1
"STAT1",1
"TERT",1
"TH",1
"THRA",1
"THRB",1
"TLR9",1
"TNFRSF1A",1
"TNKS",1
"TNKS2",1
"TPH1",1
"TPH2",1
"TUBB1",1
"Tyrosinase",1
"USP4",1
"USP5",1
"VEGFA",1
"XDH",1
"XIAP",1
"Xanthine dehydrogenase",1
"YARS1",1
