"gene","degree","betweenness","closeness","hub_score"
"AKT1",100,0.100862515094014,0.000498142064731542,12.3589172236232
"EGFR",84,0.0879765395894428,0.000466525728263474,10.3231606116825
"EP300",92,0.0613765740900466,0.000463720486558372,8.83618042483299
"NFKB1",76,0.0578862630096027,0.000437713270204477,7.51470374740905
"JUN",84,0.0471623253406935,0.000468998231045711,7.39261441104114
"IL1B",60,0.0526134207348629,0.000452963236524344,6.32932756205729
"FYN",68,0.0479644643781266,0.000429352773257898,6.29348513750251
"GNB1",52,0.054329825771951,0.000446099642316503,5.95788813374027
"CXCL12",44,0.0584612730722788,0.00045923750025858,5.8891593591588
"HDAC2",50,0.0545540796963947,0.000419245509162969,5.68890638539065
"APP",52,0.0509487666034156,0.000436161308955453,5.65002359287545
"C3AR1",2,0,0.00141643059490085,5.44260583825106
"C5AR1",2,0,0.00141643059490085,5.44260583825106
"MMP9",44,0.0543125754700707,0.000427210074460278,5.38411351843945
"HCAR2",2,0,0.00138312586445367,5.22886059536477
"GPR84",2,0,0.00138312586445367,5.22886059536477
"NOS3",54,0.0427203726065206,0.000441759982382665,5.20476470044439
"STAT1",60,0.0347162325340693,0.000463100744576993,5.10237479675179
"VEGFA",56,0.0348542349491116,0.000438193642112909,4.7268376001533
"ESR1",70,0.0202317290552585,0.000467414998547224,4.648537188864
"ESTROGEN RECEPTOR ALPHA",70,0.0202317290552585,0.000467414998547224,4.648537188864
"LCK",64,0.0269104709332413,0.000437333291307311,4.59914721957579
"HDAC1",60,0.0281007417629809,0.000425618392849611,4.38423999077903
"PPARG",38,0.042987752285665,0.00043666232626937,4.28875377914748
"PTPN11",54,0.0280748663101604,0.000433439675740264,4.09409398951069
"CFTR",52,0.0341728480248404,0.000377976565452942,4.06553333386633
"RHOA",62,0.0217181300672762,0.00042478282499713,4.03093567470647
"GNG2",40,0.0371398999482491,0.000426111280304446,3.91170159544421
"AR",48,0.0303691564602381,0.000429844365359966,3.89817265729566
