"from","to","weight"
"CFTR","PSMA4",904
"CFTR","PSMA4",904
"CFTR","PSMA3",934
"CFTR","PSMA3",934
"PSMA4","PSMA3",999
"PSMA4","PSMA3",999
"MMP11","MMP2",733
"MMP11","MMP2",733
"CFTR","PSMA2",904
"CFTR","PSMA2",904
"PSMA4","PSMA2",999
"PSMA4","PSMA2",999
"PSMA3","PSMA2",999
"PSMA3","PSMA2",999
"PON1","MPO",923
"PON1","MPO",923
"PSMA4","NFKB1",953
"PSMA4","NFKB1",953
"TNFRSF1A","NFKB1",952
"TNFRSF1A","NFKB1",952
"PSMA3","NFKB1",931
"PSMA3","NFKB1",931
"PSMA2","NFKB1",931
"PSMA2","NFKB1",931
"LAP3","GCLC",903
"LAP3","GCLC",903
"LAP3","LNPEP",786
"LAP3","LNPEP",786
"NFKB1","NR3C1",978
"NFKB1","NR3C1",978
"PSMA3","HSPE1",752
"PSMA3","HSPE1",752
"PSMA4","ODC1",902
"PSMA4","ODC1",902
"PSMA3","ODC1",902
"PSMA3","ODC1",902
"PSMA2","ODC1",906
"PSMA2","ODC1",906
"CPB2","TTR",704
"CPB2","TTR",704
"NR3C1","AHR",733
"NR3C1","AHR",733
"GHSR","MC3R",914
"GHSR","MC3R",914
"SPR","TPH1",965
"SPR","TPH1",965
"CFTR","PRKAB2",819
"CFTR","PRKAB2",819
"CDC25B","CDK4",731
"CDC25B","CDK4",731
"CFTR","PSMB7",902
"CFTR","PSMB7",902
"PSMA4","PSMB7",999
"PSMA4","PSMB7",999
"PSMA3","PSMB7",999
"PSMA3","PSMB7",999
"PSMA2","PSMB7",999
"PSMA2","PSMB7",999
"NFKB1","PSMB7",918
"NFKB1","PSMB7",918
"ODC1","PSMB7",906
"ODC1","PSMB7",906
"MMP11","MMP7",703
"MMP11","MMP7",703
"TUBB1","KIF11",743
"TUBB1","KIF11",743
"CFTR","PSMA6",906
"CFTR","PSMA6",906
"PSMA4","PSMA6",999
"PSMA4","PSMA6",999
"PSMA3","PSMA6",999
"PSMA3","PSMA6",999
"PSMA2","PSMA6",999
"PSMA2","PSMA6",999
"NFKB1","PSMA6",931
"NFKB1","PSMA6",931
"ODC1","PSMA6",902
"ODC1","PSMA6",902
"PSMB7","PSMA6",999
"PSMB7","PSMA6",999
"ODC1","ARG2",987
"ODC1","ARG2",987
"IL2","PDGFRB",705
"IL2","PDGFRB",705
"CFTR","PSMB1",911
"CFTR","PSMB1",911
"PSMA4","PSMB1",999
"PSMA4","PSMB1",999
"PSMA3","PSMB1",999
"PSMA3","PSMB1",999
"PSMA2","PSMB1",999
"PSMA2","PSMB1",999
"NFKB1","PSMB1",935
"NFKB1","PSMB1",935
"ODC1","PSMB1",902
"ODC1","PSMB1",902
"PSMB7","PSMB1",999
"PSMB7","PSMB1",999
"PSMA6","PSMB1",999
"PSMA6","PSMB1",999
"SLC7A5","SLC1A1",796
"L-TYPE AMINO ACID TRANSPORTER 1","SLC1A1",796
"SLC7A5","SLC1A1",796
"L-TYPE AMINO ACID TRANSPORTER 1","SLC1A1",796
"HDAC7","EP300",979
"HDAC7","EP300",979
"HDAC10","EP300",833
"HDAC10","EP300",833
"HDAC5","EP300",858
"HDAC5","EP300",858
"NFKB1","EP300",992
"NFKB1","EP300",992
"NR3C1","EP300",997
"NR3C1","EP300",997
"AHR","EP300",791
"AHR","EP300",791
"TNFRSF1A","IL1B",837
"TNFRSF1A","IL1B",837
"MMP2","IL1B",776
"MMP2","IL1B",776
"MPO","IL1B",843
"MPO","IL1B",843
"NFKB1","IL1B",967
"NFKB1","IL1B",967
"IL2","IL1B",876
"IL2","IL1B",876
"MMP8","IL1B",763
"MMP8","IL1B",763
"MMP13","IL1B",828
"MMP13","IL1B",828
"EP300","IL1B",938
"EP300","IL1B",938
"EP300","BRD4",934
"EP300","BRD4",934
"GSK3A","AKT3",937
"GSK3A","AKT3",937
"PON1","BCHE",726
"PON1","BCHE",726
"SPR","PRKG2",903
"SPR","PRKG2",903
"HDAC5","HDAC4",898
"HDAC5","HDAC4",898
"EP300","HDAC4",903
"EP300","HDAC4",903
"EP300","THRA",749
"EP300","THRA",749
"MPO","ICAM1",740
"MPO","ICAM1",740
"IL2","ICAM1",733
"IL2","ICAM1",733
"IL1B","ICAM1",874
"IL1B","ICAM1",874
"SLC7A5","SLC1A3",737
"L-TYPE AMINO ACID TRANSPORTER 1","SLC1A3",737
"SLC7A5","SLC1A3",737
"L-TYPE AMINO ACID TRANSPORTER 1","SLC1A3",737
"TNFRSF1A","USP4",930
"TNFRSF1A","USP4",930
"CDC25B","CDK2",999
"CDC25B","CDK2",999
"CDK4","CDK2",922
"CDK4","CDK2",922
"KIF11","CDK2",727
"KIF11","CDK2",727
"EP300","CDK2",876
"EP300","CDK2",876
"HDAC7","NCOR1",940
"HDAC7","NCOR1",940
"HDAC10","NCOR1",825
"HDAC10","NCOR1",825
"HDAC5","NCOR1",995
"HDAC5","NCOR1",995
"NR3C1","NCOR1",985
"NR3C1","NCOR1",985
"NR0B2","NCOR1",798
"NR0B2","NCOR1",798
"EP300","NCOR1",988
"EP300","NCOR1",988
"HDAC4","NCOR1",999
"HDAC4","NCOR1",999
"THRA","NCOR1",997
"THRA","NCOR1",997
"HDAC7","CBX4",744
"HDAC7","CBX4",744
"CBX7","CBX4",918
"CBX7","CBX4",918
"HDAC5","CBX4",759
"HDAC5","CBX4",759
"CFTR","PSMB6",903
"CFTR","PSMB6",903
"PSMA4","PSMB6",999
"PSMA4","PSMB6",999
"PSMA3","PSMB6",999
"PSMA3","PSMB6",999
"PSMA2","PSMB6",999
"PSMA2","PSMB6",999
"NFKB1","PSMB6",916
"NFKB1","PSMB6",916
"ODC1","PSMB6",902
"ODC1","PSMB6",902
"PSMB7","PSMB6",999
"PSMB7","PSMB6",999
"PSMA6","PSMB6",999
"PSMA6","PSMB6",999
"PSMB1","PSMB6",999
"PSMB1","PSMB6",999
"CFTR","PSMA5",904
"CFTR","PSMA5",904
"PSMA4","PSMA5",999
"PSMA4","PSMA5",999
"PSMA3","PSMA5",999
"PSMA3","PSMA5",999
"PSMA2","PSMA5",999
"PSMA2","PSMA5",999
"NFKB1","PSMA5",927
"NFKB1","PSMA5",927
"ODC1","PSMA5",907
"ODC1","PSMA5",907
"PSMB7","PSMA5",999
"PSMB7","PSMA5",999
"PSMA6","PSMA5",999
"PSMA6","PSMA5",999
"PSMB1","PSMA5",999
"PSMB1","PSMA5",999
"PSMB6","PSMA5",999
"PSMB6","PSMA5",999
"LAP3","DNPEP",894
"LAP3","DNPEP",894
"ENPEP","DNPEP",774
"ENPEP","DNPEP",774
"HDAC7","EGFR",710
"HDAC7","EGFR",710
"TNFRSF1A","EGFR",847
"TNFRSF1A","EGFR",847
"MMP2","EGFR",707
"MMP2","EGFR",707
"CSK","EGFR",981
"CSK","EGFR",981
"IL2","EGFR",815
"IL2","EGFR",815
"NR3C1","EGFR",788
"NR3C1","EGFR",788
"KISS1R","EGFR",724
"KISS1R","EGFR",724
"ABCG2","EGFR",746
"ABCG2","EGFR",746
"PDGFRB","EGFR",946
"PDGFRB","EGFR",946
"TPH1","HTR2C",774
"TPH1","HTR2C",774
"HTR2B","HTR2C",868
"HTR2B","HTR2C",868
"SLC7A5","SLC1A2",740
"L-TYPE AMINO ACID TRANSPORTER 1","SLC1A2",740
"SLC7A5","SLC1A2",740
"L-TYPE AMINO ACID TRANSPORTER 1","SLC1A2",740
"SLC1A3","SLC1A2",841
"SLC1A3","SLC1A2",841
"SLC1A2","SLC7A11",809
"SLC1A2","SLC7A11",809
"SPR","QDPR",982
"SPR","QDPR",982
"TPH1","QDPR",962
"TPH1","QDPR",962
"DNPEP","QDPR",765
"DNPEP","QDPR",765
"EPHA1","EPHA4",907
"EPHA1","EPHA4",907
"PRKCG","GRIA4",965
"PRKCG","GRIA4",965
"SLC1A2","GRIA4",702
"SLC1A2","GRIA4",702
"IL1B","LY96",719
"IL1B","LY96",719
"GSK3A","APP",747
"GSK3A","APP",747
"PON1","APP",789
"PON1","APP",789
"NFKB1","APP",918
"NFKB1","APP",918
"TTR","APP",943
"TTR","APP",943
"CAPNS1","APP",702
"CAPNS1","APP",702
"EP300","APP",967
"EP300","APP",967
"BCHE","APP",735
"BCHE","APP",735
"IDE","APP",989
"IDE","APP",989
"EGFR","APP",823
"EGFR","APP",823
"SPR","AKR1B1",957
"SPR","ALDOSE REDUCTASE",957
"SPR","AKR1B1",957
"SPR","ALDOSE REDUCTASE",957
"TPH1","AKR1B1",929
"TPH1","ALDOSE REDUCTASE",929
"TPH1","AKR1B1",929
"TPH1","ALDOSE REDUCTASE",929
"G6PC","AKR1B1",837
"G6PC","ALDOSE REDUCTASE",837
"G6PC","AKR1B1",837
"G6PC","ALDOSE REDUCTASE",837
"QDPR","AKR1B1",943
"QDPR","ALDOSE REDUCTASE",943
"QDPR","AKR1B1",943
"QDPR","ALDOSE REDUCTASE",943
"TNFRSF1A","CASP10",894
"TNFRSF1A","CASP10",894
"HDAC7","PPARG",707
"HDAC7","PPARG",707
"TNFRSF1A","PPARG",932
"TNFRSF1A","PPARG",932
"HDAC5","PPARG",750
"HDAC5","PPARG",750
"NFKB1","PPARG",954
"NFKB1","PPARG",954
"EP300","PPARG",999
"EP300","PPARG",999
"IL1B","PPARG",745
"IL1B","PPARG",745
"NCOR1","PPARG",999
"NCOR1","PPARG",999
"PRKAB2","HMGCR",825
"PRKAB2","HMGCR",825
"SPR","CBR1",973
"SPR","CBR1",973
"AKR1B1","CBR1",957
"ALDOSE REDUCTASE","CBR1",957
"AKR1B1","CBR1",957
"ALDOSE REDUCTASE","CBR1",957
"CFTR","PSMB4",908
"CFTR","PSMB4",908
"PSMA4","PSMB4",999
"PSMA4","PSMB4",999
"PSMA3","PSMB4",999
"PSMA3","PSMB4",999
"PSMA2","PSMB4",999
"PSMA2","PSMB4",999
"NFKB1","PSMB4",917
"NFKB1","PSMB4",917
"ODC1","PSMB4",910
"ODC1","PSMB4",910
"PSMB7","PSMB4",999
"PSMB7","PSMB4",999
"PSMA6","PSMB4",999
"PSMA6","PSMB4",999
"PSMB1","PSMB4",999
"PSMB1","PSMB4",999
"PSMB6","PSMB4",999
"PSMB6","PSMB4",999
"PSMA5","PSMB4",999
"PSMA5","PSMB4",999
"REN","ACE",967
"REN","ACE",967
"PPARG","ACE",785
"PPARG","ACE",785
"CPA1","CELA1",711
"CPA1","CELA1",711
"IL1B","VCAM1",830
"IL1B","VCAM1",830
"ICAM1","VCAM1",930
"ICAM1","VCAM1",930
"CAPNS1","CAPN2",995
"CAPNS1","CAPN2",995
"APP","CAPN2",725
"APP","CAPN2",725
"GABRB2","GABRB1",830
"GABRB2","GABRB1",830
"LAP3","RNPEP",786
"LAP3","RNPEP",786
"DNPEP","RNPEP",780
"DNPEP","RNPEP",780
"EP300","HDAC11",886
"EP300","HDAC11",886
"NCOR1","HDAC11",845
"NCOR1","HDAC11",845
"CPA1","CPA3",828
"CPA1","CPA3",828
"PRKCG","GRIA2",968
"PRKCG","GRIA2",968
"SLC1A2","GRIA2",744
"SLC1A2","GRIA2",744
"GRIA4","GRIA2",958
"GRIA4","GRIA2",958
"TNFRSF1A","ERAP1",914
"TNFRSF1A","ERAP1",914
"SPR","NOS3",805
"SPR","NOS3",805
"ARG2","NOS3",973
"ARG2","NOS3",973
"EP300","NOS3",926
"EP300","NOS3",926
"NOX4","NOS3",741
"NOX4","NOS3",741
"AKT3","NOS3",857
"AKT3","NOS3",857
"ICAM1","NOS3",731
"ICAM1","NOS3",731
"REN","NOS3",769
"REN","NOS3",769
"ACE","NOS3",804
"ACE","NOS3",804
"VCAM1","NOS3",757
"VCAM1","NOS3",757
"TPH1","SLC18A2",742
"TPH1","SLC18A2",742
"EGFR","LRRK2",725
"EGFR","LRRK2",725
"APP","LRRK2",707
"APP","LRRK2",707
"IL1B","MMP3",825
"IL1B","MMP3",825
"EGFR","MMP3",838
"EGFR","MMP3",838
"MPO","ANPEP",749
"MPO","ANPEP",749
"LAP3","ANPEP",957
"LAP3","ANPEP",957
"GCLC","ANPEP",934
"GCLC","ANPEP",934
"KIT","ANPEP",759
"KIT","ANPEP",759
"CA12","CA4",710
"CA12","CARBONIC ANHYDRASE IV",710
"CARBONIC ANHYDRASE XII","CA4",710
"CARBONIC ANHYDRASE XII","CARBONIC ANHYDRASE IV",710
"CA12","CA4",710
"CA12","CARBONIC ANHYDRASE IV",710
"CARBONIC ANHYDRASE XII","CA4",710
"CARBONIC ANHYDRASE XII","CARBONIC ANHYDRASE IV",710
"MTNR1B","MTNR1A",891
"MTNR1B","MTNR1A",891
"PTGER2","PTGER4",854
"PTGER2","PTGER4",854
"HDAC7","HDAC3",975
"HDAC7","HDAC3",975
"TNFRSF1A","HDAC3",903
"TNFRSF1A","HDAC3",903
"HDAC5","HDAC3",954
"HDAC5","HDAC3",954
"NFKB1","HDAC3",976
"NFKB1","HDAC3",976
"EP300","HDAC3",988
"EP300","HDAC3",988
"HDAC4","HDAC3",993
"HDAC4","HDAC3",993
"THRA","HDAC3",755
"THRA","HDAC3",755
"NCOR1","HDAC3",999
"NCOR1","HDAC3",999
"CBX4","HDAC3",804
"CBX4","HDAC3",804
"PPARG","HDAC3",997
"PPARG","HDAC3",997
"APP","ACHE",952
"APP","ACHE",952
"MMP2","BMP1",719
"MMP2","BMP1",719
"NR3C1","FOS",973
"NR3C1","FOS",973
"EP300","FOS",998
"EP300","FOS",998
"PRKCG","FOS",880
"PRKCG","FOS",880
"EGFR","FOS",977
"EGFR","FOS",977
"PPARG","FOS",960
"PPARG","FOS",960
"TNFRSF1A","CXCL8",728
"TNFRSF1A","CXCL8",728
"MIF","CXCL8",730
"MIF","CXCL8",730
"MPO","CXCL8",771
"MPO","CXCL8",771
"NFKB1","CXCL8",958
"NFKB1","CXCL8",958
"IL2","CXCL8",873
"IL2","CXCL8",873
"EP300","CXCL8",951
"EP300","CXCL8",951
"IL1B","CXCL8",998
"IL1B","CXCL8",998
"ICAM1","CXCL8",883
"ICAM1","CXCL8",883
"VCAM1","CXCL8",821
"VCAM1","CXCL8",821
"MMP3","CXCL8",734
"MMP3","CXCL8",734
"MMP2","MMP14",923
"MMP2","MMP14",923
"MMP15","MMP14",906
"MMP15","MMP14",906
"MMP13","MMP14",931
"MMP13","MMP14",931
"EGFR","MMP14",745
"EGFR","MMP14",745
"NFKB1","TERT",914
"NFKB1","TERT",914
"IL2","TERT",929
"IL2","TERT",929
"CDK4","TERT",704
"CDK4","TERT",704
"CDK2","TERT",947
"CDK2","TERT",947
"TNFRSF1A","ADAM17",824
"TNFRSF1A","ADAM17",824
"EGFR","ADAM17",949
"EGFR","ADAM17",949
"APP","ADAM17",782
"APP","ADAM17",782
"CFTR","PSMA8",914
"CFTR","PSMA8",914
"PSMA4","PSMA8",997
"PSMA4","PSMA8",997
"PSMA3","PSMA8",997
"PSMA3","PSMA8",997
"PSMA2","PSMA8",997
"PSMA2","PSMA8",997
"NFKB1","PSMA8",911
"NFKB1","PSMA8",911
"ODC1","PSMA8",900
"ODC1","PSMA8",900
"PSMB7","PSMA8",998
"PSMB7","PSMA8",998
"PSMA6","PSMA8",997
"PSMA6","PSMA8",997
"PSMB1","PSMA8",999
"PSMB1","PSMA8",999
"PSMB6","PSMA8",999
"PSMB6","PSMA8",999
"PSMA5","PSMA8",997
"PSMA5","PSMA8",997
"PSMB4","PSMA8",999
"PSMB4","PSMA8",999
"LNPEP","TNKS",988
"LNPEP","TNKS",988
"TERT","TNKS",944
"TERT","TNKS",944
"EP300","CTBP2",918
"EP300","CTBP2",918
"PDGFRB","PTPN2",933
"PDGFRB","PTPN2",933
"EGFR","PTPN2",984
"EGFR","PTPN2",984
"PRKAB2","CAMKK2",970
"PRKAB2","CAMKK2",970
"AKT3","PRKDC",817
"AKT3","PRKDC",817
"EGFR","PRKDC",990
"EGFR","PRKDC",990
"LRRK2","PRKDC",786
"LRRK2","PRKDC",786
"GABRB2","ALDH5A1",780
"GABRB2","ALDH5A1",780
"EGFR","EDNRA",936
"EGFR","EDNRA",936
"TPH1","HTR1A",859
"TPH1","HTR1A",859
"SLC18A2","HTR1A",721
"SLC18A2","HTR1A",721
"PSMA3","RUVBL1",750
"PSMA3","RUVBL1",750
"TERT","RUVBL1",994
"TERT","RUVBL1",994
"IDE","BACE1",817
"IDE","BACE1",817
"APP","BACE1",999
"APP","BACE1",999
"ADAM17","BACE1",776
"ADAM17","BACE1",776
"GCLC","NQO1",895
"GCLC","NQO1",895
"ODC1","NQO1",890
"ODC1","NQO1",890
"GSTM1","NQO1",740
"GSTM1","NQO1",740
"MMP11","MMP1",913
"MMP11","MMP1",913
"MMP2","MMP1",921
"MMP2","MMP1",921
"MMP7","MMP1",926
"MMP7","MMP1",926
"IL1B","MMP1",770
"IL1B","MMP1",770
"MMP3","MMP1",953
"MMP3","MMP1",953
"CXCL8","MMP1",759
"CXCL8","MMP1",759
"GSK3A","GSK3B",935
"GSK3A","GSK3B",935
"NR3C1","GSK3B",931
"NR3C1","GSK3B",931
"PIN1","GSK3B",953
"PIN1","GSK3B",953
"CDK4","GSK3B",923
"CDK4","GSK3B",923
"AKT3","GSK3B",966
"AKT3","GSK3B",966
"APP","GSK3B",936
"APP","GSK3B",936
"LRRK2","GSK3B",890
"LRRK2","GSK3B",890
"NR0B2","NOS2",912
"NR0B2","NOS2",912
"ARG2","NOS2",972
"ARG2","NOS2",972
"IL1B","NOS2",813
"IL1B","NOS2",813
"AKT3","NOS2",818
"AKT3","NOS2",818
"IDE","NOS2",907
"IDE","NOS2",907
"NOS3","NOS2",837
"NOS3","NOS2",837
"NOX4","P4HB",802
"NOX4","P4HB",802
"PPIB","P4HB",994
"PPIB","P4HB",994
"SPR","TPH2",938
"SPR","TPH2",938
"TPH1","TPH2",814
"TPH1","TPH2",814
"QDPR","TPH2",940
"QDPR","TPH2",940
"AKR1B1","TPH2",902
"ALDOSE REDUCTASE","TPH2",902
"AKR1B1","TPH2",902
"ALDOSE REDUCTASE","TPH2",902
"HTR1A","TPH2",814
"HTR1A","TPH2",814
"AKT3","CASP9",939
"AKT3","CASP9",939
"IL1B","SELE",758
"IL1B","SELE",758
"ICAM1","SELE",916
"ICAM1","SELE",916
"VCAM1","SELE",924
"VCAM1","SELE",924
"CXCL8","SELE",775
"CXCL8","SELE",775
"EPHA8","EPHB3",765
"EPHA8","EPHB3",765
"MMP2","EPHB3",928
"MMP2","EPHB3",928
"EP300","RARB",939
"EP300","RARB",939
"THRA","RARB",906
"THRA","RARB",906
"NCOR1","RARB",756
"NCOR1","RARB",756
"HDAC3","RARB",907
"HDAC3","RARB",907
"CFTR","HDAC6",933
"CFTR","HDAC6",933
"NR3C1","HDAC6",969
"NR3C1","HDAC6",969
"EP300","HDAC6",986
"EP300","HDAC6",986
"NCOR1","HDAC6",922
"NCOR1","HDAC6",922
"EGFR","HDAC6",883
"EGFR","HDAC6",883
"HDAC11","HDAC6",956
"HDAC11","HDAC6",956
"CPB2","F3",720
"CPB2","F3",720
"VCAM1","F3",713
"VCAM1","F3",713
"SELE","F3",715
"SELE","F3",715
"DRD4","GNG2",703
"DRD4","GNG2",703
"HDAC5","GNG2",921
"HDAC5","GNG2",921
"PRKCG","GNG2",721
"PRKCG","GNG2",721
"NOS3","GNG2",907
"NOS3","GNG2",907
"CXCL8","GNG2",980
"CXCL8","GNG2",980
"PRKCH","GNG2",744
"PRKCH","GNG2",744
"CCKAR","CCKBR",846
"CCKAR","CCKBR",846
"EPHA1","EPHA3",906
"EPHA1","EPHA3",906
"EPHA4","EPHA3",904
"EPHA4","EPHA3",904
"MMP15","MMP25",908
"MMP15","MMP25",908
"MMP14","MMP25",908
"MMP14","MMP25",908
"CSK","LCK",955
"CSK","LCK",955
"NFKB1","LCK",927
