Phytochemical,Plant,CID,SMILES,Database,Target_Name,Gene_Symbol,UniProt_ID,ChEMBL_ID,Target_Class,Target_Key,Probability,P_Value,Max_Tc,Rank
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SEA,TAS2R31,,T2R31_HUMAN,,Taste receptor type 2 member 31,T2R31_HUMAN,,4.441e-16,0.31,1
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SEA,TRPM2,,TRPM2_HUMAN,,Transient receptor potential cation channel subfamily M member 2,TRPM2_HUMAN,,4.251e-12,0.30,2
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,SEA,CPB2,,CBPB2_HUMAN,,Carboxypeptidase B2,CBPB2_HUMAN,,6.959e-08,0.39,3
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SEA,CA3,,CAH3_HUMAN,,Carbonic anhydrase 3,CAH3_HUMAN,,1.966e-29,1.00,1
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SEA,CA6,,CAH6_HUMAN,,Carbonic anhydrase 6,CAH6_HUMAN,,4.201e-29,1.00,2
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SEA,CA5B,,CAH5B_HUMAN,,"Carbonic anhydrase 5B, mitochondrial",CAH5B_HUMAN,,5.523e-27,1.00,3
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SEA,CA5A,,CAH5A_HUMAN,,"Carbonic anhydrase 5A, mitochondrial",CAH5A_HUMAN,,2.466e-26,1.00,4
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SEA,CA14,,CAH14_HUMAN,,Carbonic anhydrase 14,CAH14_HUMAN,,7.845e-21,1.00,5
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SEA,CA7,,CAH7_HUMAN,,Carbonic anhydrase 7,CAH7_HUMAN,,9.975e-20,1.00,6
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SEA,AKR1B1,,ALDR_HUMAN,,Aldo-keto reductase family 1 member B1,ALDR_HUMAN,,5.551e-16,1.00,7
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SEA,ESR2,,ESR2_HUMAN,,Estrogen receptor beta,ESR2_HUMAN,,3.537e-13,1.00,8
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SEA,CA4,,CAH4_HUMAN,,Carbonic anhydrase 4,CAH4_HUMAN,,8.212e-10,1.00,9
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SEA,CA9,,CAH9_HUMAN,,Carbonic anhydrase 9,CAH9_HUMAN,,1.039e-07,1.00,10
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SEA,CA12,,CAH12_HUMAN,,Carbonic anhydrase 12,CAH12_HUMAN,,1.16e-07,1.00,11
4-Hydroxycinnamic acid,Abrus precatorius,637542,OC(=O)/C=C/c1ccc(cc1)O,SEA,CA1,,CAH1_HUMAN,,Carbonic anhydrase 1,CAH1_HUMAN,,6.912e-07,1.00,12
