"from","to","combined_score"
"CFTR","PSMB6",903
"CFTR","PSMB10",902
"CFTR","PSMA3",934
"CFTR","PSMB5",903
"CFTR","PSMB8",906
"CFTR","PSMA4",904
"CFTR","PSMB3",914
"CFTR","PSMA6",906
"CFTR","PSMA1",903
"CFTR","PSMB1",911
"CFTR","PSMB9",903
"CFTR","PSMA5",904
"CFTR","PSMB7",902
"CFTR","PSMB11",902
"CFTR","PRKAA1",960
"CFTR","PSMA7",917
"CFTR","GNB1",901
"CFTR","PSMA2",904
"CFTR","PSMB2",903
"CFTR","PSMA8",914
"CFTR","HDAC6",933
"CFTR","PSMB4",908
"PSMA4","PSMA2",999
"PSMA4","PSMB2",999
"PSMA4","PSMA8",997
"PSMA4","NFKB1",953
"PSMA4","PSMB4",999
"PSMA4","PSMA5",999
"PSMA4","PSMB9",999
"PSMA4","PSMB11",986
"PSMA4","PSMB7",999
"PSMA4","PSMA7",999
"PSMA4","PSMB8",999
"PSMA4","CFTR",904
"PSMA4","PSMA6",999
"PSMA4","ODC1",902
"PSMA4","PSMB3",999
"PSMA4","PSMA1",999
"PSMA4","PSMB1",999
"PSMA4","PSMB6",999
"PSMA4","PSMB10",998
"PSMA4","PSMA3",999
"PSMA4","PSMB5",999
"HDAC7","HDAC3",975
"HDAC7","ESR1",960
"HDAC7","NCOR1",940
"HDAC7","EP300",979
"HDAC7","AR",951
"HDAC7","NCOR2",979
"TNFRSF1A","PPARG",932
"TNFRSF1A","HDAC3",903
"TNFRSF1A","STAT1",958
"TNFRSF1A","NFKB1",952
"TNFRSF1A","USP4",930
"CBX7","HDAC2",997
"CBX7","CBX4",918
"PSMA3","PSMB2",999
"PSMA3","PSMA2",999
"PSMA3","NFKB1",931
"PSMA3","PSMB4",999
"PSMA3","PSMA8",997
"PSMA3","PSMB11",984
"PSMA3","PSMB7",999
"PSMA3","PSMA5",999
"PSMA3","PSMB9",999
"PSMA3","PSMA7",999
"PSMA3","PSMA4",999
"PSMA3","PSMB8",999
"PSMA3","PSMA1",999
"PSMA3","PSMB1",999
"PSMA3","CFTR",934
"PSMA3","PSMA6",999
"PSMA3","ODC1",902
"PSMA3","PSMB3",999
"PSMA3","PSMB10",999
"PSMA3","PSMB6",999
"PSMA3","PSMB5",999
"MMP2","MMP1",921
"MMP2","VEGFA",984
"MMP2","MMP14",923
"MMP15","MMP14",906
"CSK","FYN",981
"CSK","EGFR",981
"CSK","PTPN11",936
"CSK","VEGFA",933
"CSK","LCK",955
"CSK","RHOA",949
"CSK","HLA-A",905
"CSK","CAPN1",909
"GSK3A","AKT3",937
"GSK3A","AKT2",934
"GSK3A","AKT1",992
"GSK3A","MAPT",967
"GSK3A","GSK3B",935
"PON1","MPO",923
"PSMA2","PSMB5",999
"PSMA2","PSMA7",999
"PSMA2","PSMA3",999
"PSMA2","PSMB10",999
"PSMA2","PSMB7",999
"PSMA2","PSMB11",962
"PSMA2","PSMA5",999
"PSMA2","PSMB6",999
"PSMA2","PSMB9",999
"PSMA2","NFKB1",931
"PSMA2","PSMA1",999
